Time (ms),Amplitude
1430000.0,-0.22
1430002.7777777778,-0.215
1430005.5555555555,-0.22
1430008.3333333335,-0.235
1430011.1111111112,-0.24
1430013.888888889,-0.24
1430016.6666666667,-0.23
1430019.4444444445,-0.23
1430022.222222222,-0.225
1430025.0,-0.24
1430027.7777777778,-0.245
1430030.5555555555,-0.23
1430033.3333333333,-0.225
1430036.111111111,-0.225
1430038.8888888888,-0.23
1430041.6666666667,-0.235
1430044.4444444445,-0.225
1430047.2222222222,-0.225
1430050.0,-0.225
1430052.7777777778,-0.23
1430055.5555555555,-0.23
1430058.3333333335,-0.235
1430061.1111111112,-0.235
1430063.8888888888,-0.23
1430066.6666666665,-0.23
1430069.4444444445,-0.225
1430072.2222222222,-0.235
1430075.0,-0.24
1430077.7777777778,-0.23
1430080.5555555555,-0.225
1430083.3333333333,-0.22
1430086.1111111112,-0.225
1430088.888888889,-0.24
1430091.6666666667,-0.245
1430094.4444444445,-0.25
1430097.2222222222,-0.24
1430100.0,-0.235
1430102.777777778,-0.23
1430105.5555555555,-0.24
1430108.3333333333,-0.245
1430111.111111111,-0.24
1430113.8888888888,-0.24
1430116.6666666665,-0.225
1430119.4444444445,-0.235
1430122.2222222222,-0.235
1430125.0,-0.25
1430127.7777777778,-0.25
1430130.5555555555,-0.24
1430133.3333333335,-0.23
1430136.1111111112,-0.24
1430138.888888889,-0.255
1430141.6666666667,-0.25
1430144.4444444445,-0.255
1430147.222222222,-0.24
1430150.0,-0.235
1430152.7777777778,-0.235
1430155.5555555555,-0.245
1430158.3333333333,-0.245
1430161.111111111,-0.245
1430163.8888888888,-0.24
1430166.6666666667,-0.235
1430169.4444444445,-0.245
1430172.2222222222,-0.25
1430175.0,-0.265
1430177.7777777778,-0.25
1430180.5555555555,-0.24
1430183.3333333335,-0.235
1430186.1111111112,-0.24
1430188.8888888888,-0.255
1430191.6666666665,-0.25
1430194.4444444445,-0.245
1430197.2222222222,-0.24
1430200.0,-0.245
1430202.7777777778,-0.25
1430205.5555555555,-0.255
1430208.3333333333,-0.25
1430211.1111111112,-0.25
1430213.888888889,-0.23
1430216.6666666667,-0.235
1430219.4444444445,-0.235
1430222.2222222222,-0.245
1430225.0,-0.245
1430227.777777778,-0.245
1430230.5555555555,-0.24
1430233.3333333333,-0.23
1430236.111111111,-0.23
1430238.8888888888,-0.245
1430241.6666666665,-0.255
1430244.4444444445,-0.24
1430247.2222222222,-0.235
1430250.0,-0.235
1430252.7777777778,-0.235
1430255.5555555555,-0.24
1430258.3333333335,-0.26
1430261.1111111112,-0.245
1430263.888888889,-0.235
1430266.6666666667,-0.23
1430269.4444444445,-0.235
1430272.222222222,-0.245
1430275.0,-0.26
1430277.7777777778,-0.25
1430280.5555555555,-0.245
1430283.3333333333,-0.23
1430286.111111111,-0.235
