Time (ms),Amplitude
1570000.0,0.21
1570002.7777777778,0.125
1570005.5555555555,0.085
1570008.3333333335,0.09
1570011.1111111112,0.12
1570013.888888889,0.11
1570016.6666666667,0.11
1570019.4444444445,0.1
1570022.222222222,0.08
1570025.0,0.08
1570027.7777777778,0.1
1570030.5555555555,0.125
1570033.3333333333,0.155
1570036.111111111,0.12
1570038.8888888888,0.06
1570041.6666666667,0.0
1570044.4444444445,-0.01
1570047.2222222222,-0.015
1570050.0,-0.02
1570052.7777777778,-0.03
1570055.5555555555,-0.06
1570058.3333333335,-0.12
1570061.1111111112,-0.18
1570063.8888888888,-0.2
1570066.6666666665,-0.245
1570069.4444444445,-0.305
1570072.2222222222,-0.345
1570075.0,-0.39
1570077.7777777778,-0.44
1570080.5555555555,-0.47
1570083.3333333333,-0.5
1570086.1111111112,-0.555
1570088.888888889,-0.62
1570091.6666666667,-0.695
1570094.4444444445,-0.705
1570097.2222222222,-0.69
1570100.0,-0.65
1570102.777777778,-0.645
1570105.5555555555,-0.64
1570108.3333333333,-0.685
1570111.111111111,-0.68
1570113.8888888888,-0.64
1570116.6666666665,-0.605
1570119.4444444445,-0.595
1570122.2222222222,-0.62
1570125.0,-0.625
1570127.7777777778,-0.6
1570130.5555555555,-0.565
1570133.3333333335,-0.55
1570136.1111111112,-0.565
1570138.888888889,-0.545
1570141.6666666667,-0.53
1570144.4444444445,-0.48
1570147.222222222,-0.45
1570150.0,-0.425
1570152.7777777778,-0.405
1570155.5555555555,-0.405
1570158.3333333333,-0.405
1570161.111111111,-0.34
1570163.8888888888,-0.31
1570166.6666666667,-0.295
1570169.4444444445,-0.305
1570172.2222222222,-0.27
1570175.0,-0.265
1570177.7777777778,-0.225
1570180.5555555555,-0.185
1570183.3333333335,-0.175
1570186.1111111112,-0.175
1570188.8888888888,-0.155
1570191.6666666665,-0.14
1570194.4444444445,-0.125
1570197.2222222222,-0.12
1570200.0,-0.13
1570202.7777777778,-0.12
1570205.5555555555,-0.09
1570208.3333333333,-0.045
1570211.1111111112,-0.035
1570213.888888889,-0.005
1570216.6666666667,0.01
1570219.4444444445,0.01
1570222.2222222222,0.025
1570225.0,0.03
1570227.777777778,0.075
1570230.5555555555,0.115
1570233.3333333333,0.13
1570236.111111111,0.14
1570238.8888888888,0.15
1570241.6666666665,0.19
1570244.4444444445,0.23
1570247.2222222222,0.255
1570250.0,0.265
